timestamp,value
2025-06-30 21:33:36.768,1802
2025-06-30 21:33:36.768,1761
2025-06-30 21:33:36.768,1716
2025-06-30 21:33:36.768,1735
2025-06-30 21:33:36.768,1766
2025-06-30 21:33:36.768,1716
2025-06-30 21:33:36.768,1685
2025-06-30 21:33:36.768,1723
2025-06-30 21:33:36.768,1740
2025-06-30 21:33:36.768,1685
2025-06-30 21:33:36.768,1686
2025-06-30 21:33:36.768,1733
2025-06-30 21:33:36.768,1739
2025-06-30 21:33:36.768,1683
2025-06-30 21:33:36.768,1706
2025-06-30 21:33:36.768,1764
2025-06-30 21:33:36.768,1732
2025-06-30 21:33:36.768,1695
2025-06-30 21:33:36.768,1712
2025-06-30 21:33:36.768,1773
2025-06-30 21:33:36.768,1715
2025-06-30 21:33:36.768,1675
2025-06-30 21:33:36.768,1739
2025-06-30 21:33:36.768,1770
2025-06-30 21:33:36.768,1722
2025-06-30 21:33:36.768,1716
2025-06-30 21:33:36.768,1768
2025-06-30 21:33:36.768,1762
2025-06-30 21:33:36.768,1675
2025-06-30 21:33:36.768,1699
2025-06-30 21:33:36.768,1750
2025-06-30 21:33:36.768,1708
2025-06-30 21:33:36.768,1668
2025-06-30 21:33:36.768,1724
2025-06-30 21:33:36.768,1788
2025-06-30 21:33:36.768,1728
2025-06-30 21:33:36.768,1700
2025-06-30 21:33:36.768,1722
2025-06-30 21:33:36.768,1741
2025-06-30 21:33:36.768,1676
2025-06-30 21:33:36.768,1682
2025-06-30 21:33:36.768,1727
2025-06-30 21:33:36.768,1677
2025-06-30 21:33:36.768,1626
2025-06-30 21:33:36.768,1659
2025-06-30 21:33:36.768,1724
2025-06-30 21:33:36.768,1680
2025-06-30 21:33:36.768,1667
2025-06-30 21:33:36.768,1678
2025-06-30 21:33:36.768,1689
2025-06-30 21:33:36.768,1690
2025-06-30 21:33:36.768,1682
2025-06-30 21:33:36.768,1733
2025-06-30 21:33:36.768,1734
2025-06-30 21:33:36.768,1676
2025-06-30 21:33:36.768,1701
2025-06-30 21:33:36.768,1761
2025-06-30 21:33:36.768,1730
2025-06-30 21:33:36.768,1670
2025-06-30 21:33:36.768,1702
2025-06-30 21:33:36.768,1746
